telemetry_id,driver_id,delivery_id,session_id,timestamp,latitude,longitude,altitude_m,heading_degrees,speed_mph,gps_accuracy_m,hard_brake_event,rapid_acceleration_event,sharp_turn_event,speeding_event,phone_interaction_event,device_type,app_version,battery_pct,network_type,signal_strength_dbm,delivery_status,estimated_arrival_min,distance_to_destination_mi,on_time_flag,weather_condition,temperature_f,traffic_condition,time_of_day_segment,trip_distance_elapsed_mi,idle_time_sec,safety_score,earnings_per_mile
TEL-AA4C32BBEC40,DRV-1001,PR-240714-PBHYTOB,SES-1882D43F,2025-03-08T13:28:00.000Z,32.774327,-96.76758,134.7,328.0,34.8,9.1,False,False,False,False,False,android,4.2.0,37,5G,-105,en_route_to_customer,1.4,0.796,False,clear,88.2,light,lunch,1.808,0,100,2.87
TEL-470B0497218D,DRV-1003,PR-240617-61I4E8A,SES-84C7932D,2025-03-06T16:58:00.000Z,33.004703,-96.750766,171.5,97.4,15.4,5.5,True,False,False,False,False,ios,4.1.2,77,5G,-71,en_route_to_customer,2.3,0.599,True,clear,93.8,heavy,dinner,1.281,0,87,3.06
TEL-59D81BC43E08,DRV-1008,PR-240625-FK8R5I6,SES-E97945B3,2025-03-05T22:53:00.000Z,33.015489,-96.749952,155.6,324.9,12.8,15.0,False,False,False,False,False,android,4.2.0,78,LTE,-75,en_route_to_restaurant,1.7,0.368,False,clear,49.6,heavy,late_night,0.416,0,98,1.96
TEL-234A5946B419,DRV-1019,PR-240727-SJU417A,SES-D551123E,2025-03-04T17:56:30.000Z,32.994001,-96.767666,153.5,199.3,28.6,9.4,False,False,False,True,False,android,4.1.2,94,LTE,-97,en_route_to_customer,6.7,3.188,True,clear,52.6,moderate,dinner,0.934,0,83,3.74
TEL-AD72FA54BFEB,DRV-1004,PR-240810-XP00CAP,SES-25B2EF66,2025-03-03T11:56:30.000Z,32.771554,-96.828706,129.4,0.0,0.0,4.4,False,False,False,False,False,android,4.1.2,52,3G,-91,waiting_at_restaurant,0.0,0.0,True,clear,55.8,heavy,lunch,0.67,11,99,2.6
TEL-A3945F1A774A,DRV-1013,PR-240828-ZRAS4KA,SES-2D6F6D52,2025-03-09T18:47:00.000Z,32.944975,-96.627975,160.1,0.0,0.0,17.6,False,False,False,False,False,ios,4.2.1,76,offline,-63,delivered,0.0,0.0,True,rain,47.6,moderate,dinner,1.842,0,98,2.91
TEL-E1ED153055E0,DRV-1006,PR-240730-J2M8ULX,SES-043CC3AA,2025-03-05T10:04:30.000Z,33.045448,-96.660107,129.0,248.1,17.7,14.0,False,False,False,False,False,ios,4.2.0,47,LTE,-97,en_route_to_customer,4.5,1.325,True,clear,66.0,light,breakfast,2.061,0,97,2.07
TEL-A2D844089138,DRV-1019,PR-240727-SJU417A,SES-D551123E,2025-03-04T17:53:00.000Z,33.015749,-96.759997,140.9,113.0,12.9,5.4,False,False,False,False,False,android,4.1.2,94,LTE,-93,en_route_to_restaurant,0.7,0.141,False,clear,84.3,moderate,dinner,0.387,0,98,1.23
TEL-2A9B6346A001,DRV-1015,PR-240725-779D0R8,SES-489A977B,2025-03-05T19:25:00.000Z,32.957829,-96.613563,174.4,258.9,13.5,10.4,False,False,False,False,False,android,4.1.2,62,LTE,-57,en_route_to_customer,2.8,0.641,False,clear,59.7,light,dinner,0.893,0,100,2.93
TEL-EA016EE53472,DRV-1014,PR-240730-SGWYR26,SES-C247B42D,2025-03-10T03:54:30.000Z,33.081084,-96.64877,155.2,0.0,0.0,2.7,False,False,False,False,False,ios,4.1.2,77,LTE,-77,waiting_at_restaurant,0.0,0.0,True,clear,62.5,moderate,late_night,0.871,8,98,1.3
